Judul;Sub judul;Deskripsi;Sumber Nama Website;Foto;Sumber
China Pamer Pembunuh Android dan iPhone, Ini Kecanggihan HP AI Agentic;China Pamer Pembunuh Android dan iPhone, Ini Kecanggihan HP AI Agentic CNBC Indonesia;China Pamer Pembunuh Android dan iPhone, Ini Kecanggihan HP AI Agentic CNBC Indonesia;CNBC Indonesia;-;https://news.google.com/rss/articles/CBMiyAFBVV95cUxPLUl6bkFqdWVsQ0Q0U3g0MmcwN01sXzItdzM2YTM4emlldlUwcjJtaDdYVVBma0hNcDFsTE56QkJ6eS1ic2drOFN1Q3l2UjdvWEwxazF2XzF0Q0pkQzl1eDdtdFl3MUtwakQyR092amJxcHgxVjJlSFlxUTl0UTM2M3o1V2dCQ1dTVm1nQkFoMTZMRmNoMWJrT0dCOHBVTEs5b0poQW91Z3BFMnFVek00Y3ZlMjlKNV9GZ2cyWWcyYzAyRXN6bjRudNIBzgFBVV95cUxQNWxtWVdWZEw3VVJBLVI0NEdEaDhYY1QyZTdHb2pqY3M1Z2ZwQUthbjBhaDdYU0I2VUhqOFRDbFRNcUF4a3VsWnVIZ3hrdGVxV2ZHTk5rWXdwMDE4bHcxOTEzSTMtYjJPaUpJZU42R3NYQ3FPU01jQk8wQ2xHa0NQSGFlTmowSEk3bWI2UTIyT1JrYzlBV0U3dkJGai1ITVdPdnNQQWg2U2s2MGdTc1BtLURLejVpVm1Rd3NqSGkxTUc4QkM5TkZJM3BwamlBZw?oc=5
5 HP Android dengan Kamera Terbaik yang Dijual di Indonesia, Juaranya Foto dan Video HD;5 HP Android dengan Kamera Terbaik yang Dijual di Indonesia, Juaranya Foto dan Video HD Suara.com;5 HP Android dengan Kamera Terbaik yang Dijual di Indonesia, Juaranya Foto dan Video HD Suara.com;Suara.com;-;https://news.google.com/rss/articles/CBMizAFBVV95cUxPMlo0U0NkYmpfYi1iNTAwTmJBZlJKYXh4VHZjeVE5M09FNGNCbkhjYUVsT3daRFRzbEd4OTB1cTVOXzRVdWxDREhrTHEwMG02MmhXX3RoamFfclZzbjdvQXhab1MtVXlrQldIV2w4aTVYOFlYRzZCLUlrblVBOFVXcUZMbEpCSkZXN0xvNlJlckNpZTlRcGtwaWd0MGtHZlg3d0ZxMGJ4UFBUdTc4V2NPUmJNb1F6OHZSS2pGaUkyOXozWXZvbDdUekhVTkTSAcwBQVVfeXFMTmVmSUZHZklfTjBQVXIzOHh5V2JPMDByN3l0UldRUHBha2wxeC1qRnZGWmVYazkyZm83a0UxaFBxUEZ3el85dGpJRUY3OTMtdnhDN3cwVG1oVUlIX2VJRElOU1JZcE9pWVZ4ajFBdkE5RGQxX0NxQW92bmRVb0hadzl1TjBLeDZFdnNDY0xIdjBjOWZCQzFwUTFfc0JseE5qbEswQ05RMGZIeFY5UHhZeHRWMXAtZVh5OVY4N0RpTWFreHo4SUJzTjZkUk4z?oc=5
Samsung Galaxy A27 5G Resmi di Indonesia, Dapat Update Android 6 Kali!;Samsung Galaxy A27 5G Resmi di Indonesia, Dapat Update Android 6 Kali! Pemmzchannel;Samsung Galaxy A27 5G Resmi di Indonesia, Dapat Update Android 6 Kali! Pemmzchannel;Pemmzchannel;-;https://news.google.com/rss/articles/CBMiqAFBVV95cUxNbGxzRDdEZnpfek9wZ2JvQVhPSFVvcFpfUFB6MF9DYjRMbmFsaG9TTGxUcVR4Q1J6NGJ1Z3YtUVpxQVlKZTZKT3RlbHZhbjZyTTdHRGg5Tzh6MGkzVUhZMnNxUEZBU0xIR0lTZC1VamJTVWdwd2FsLTBRbzFBcnExN3lqdURxVWkwSU5TcVVmbG1XNWY5QXhSRmhIR2JtU0tSUXFUWk1yT2E?oc=5
5 HP Android Rp3 Jutaan Terbaik untuk Main MLBB dan Free Fire 2026;5 HP Android Rp3 Jutaan Terbaik untuk Main MLBB dan Free Fire 2026 Media Indonesia;5 HP Android Rp3 Jutaan Terbaik untuk Main MLBB dan Free Fire 2026 Media Indonesia;Media Indonesia;-;https://news.google.com/rss/articles/CBMirwFBVV95cUxPaGlwOHJEek8xOXRVc2Q0ZDRleGxiUko0RVBnUmlxTHdMVWU3Q2xaT0hqM1FOa1BueHZyWmxORVVMMGtDVlVYRHN1bzRIbWZEY29EOC1zQll2N3pMbU5yaGY5M0xwbzVVOHY2d0wwUXhEZTJ2TmZWQ1dxX1N6U2diWjcxY3FXYkxMRU0yQ29vZjY4R2RZNk9wTk80cEUtSXJKNUN3ckJiSzl0Slg2MUlV?oc=5
Pengguna HP Android Ternyata Tidak Boleh Dipaksa Pakai Google;Pengguna HP Android Ternyata Tidak Boleh Dipaksa Pakai Google CNBC Indonesia;Pengguna HP Android Ternyata Tidak Boleh Dipaksa Pakai Google CNBC Indonesia;CNBC Indonesia;-;https://news.google.com/rss/articles/CBMivgFBVV95cUxQSEFRZlc2RWhjOHVLYWxfc1FGSVk0YVhvTzExeVNJa1lYNGZzNERpQ1JqYmVLUE4tNjNmNEtxX1poUkNOblZNNGJnZXh4TkwxRklYZV9uUklhMXBoYWZ0TE1pNkpfNUNHTV9UTmpwd3R0dVBTb2hOZW5lQThzdnhlN01FX0otbEg2VV9VdkJSQ0VGTkVIN0JjVmI4NWtTQ2YzNnhiMnVHRnRTRF9aWERMOE0zeHNONnB5dVJwMEZn0gHDAUFVX3lxTFBYbjJ0M09NT2k2TU9XMHdGeUFiSzNmYlk5UmxSa0dFSWVVSzlnZ2JkVS1RaXV5Y2NxWi1la09GVHpTUW9ZOFJsRUp4RTduVzAzcXNGUC1WOWx3THZNd1ZYUmxrTXU5RzBxZDRhLTlRdFZvY0JGM1dYTWZZN3FQVnN2eFppYTNuQWRPb1ZQU2pfX2NoLUtGcUhLWlpqcENReEdJY1BpUEJRdDNzcVdHejZWWUtGV1p3S19nYnZIaGpZMThWSQ?oc=5
OpenClaw Luncurkan Aplikasi iOS dan Android, Permudah Akses Agen AI;OpenClaw Luncurkan Aplikasi iOS dan Android, Permudah Akses Agen AI TIMES Indonesia;OpenClaw Luncurkan Aplikasi iOS dan Android, Permudah Akses Agen AI TIMES Indonesia;TIMES Indonesia;-;https://news.google.com/rss/articles/CBMirAFBVV95cUxNXzFEcVpYZzdXNHRuUmNxMk5kbU9wV01WMjJMbXhfU0FMNkJUV05TSENZUUJXOXdkMDFYRlVQdFo1ZXhPUHAzY0FGRWJJamNRa0tvckZDMnM4NWhmd2JmSnZzdmRLRW9UUl9SQ0U0UjJ2RExCWWZBcm9CS1QwMV9xQUdTNUl4ZGExRTlCS0RUREoxQkt3cU5WYkJYRE42OWZxMjNpTkZQVmxxemJz?oc=5
Daftar 5 HP Android Tak Lagi Dapat Update Mulai Tahun 2026;Daftar 5 HP Android Tak Lagi Dapat Update Mulai Tahun 2026 CNN Indonesia;Daftar 5 HP Android Tak Lagi Dapat Update Mulai Tahun 2026 CNN Indonesia;CNN Indonesia;-;https://news.google.com/rss/articles/CBMiwgFBVV95cUxQRGVSaVk3LS1MUEFzMUxBaEVZNHhNbkVuZGRYTVJvNmg2U3ZUclduZDYwdmdCcXpzclRITjRRRU5XN25zVGNTY2pPandvSlZsQTJOeVYzUUhZWjRkclM3Umc0Y2ZsZEpNVjRrMl9pdHhEWHd3WjF5VXMxVWpIODVrY2pIY3pualpfREVPUjVLZ1l6N0xSUWJKbDJtZFB0U0hjS19rTi03OWFBSDJMUkZ5Nk9wempveGQ1WV9Sc2FIZi16Z9IBxwFBVV95cUxQMU5QWXJZci1LUjI1V3NFZXRzU0dMdGNFZG5vQ2R4VHIza0FONWJ0cGlQdzJQVzdCSnp2eFZPb2RXa1U0NDlBSmxvWElXZDE5RWtHa3pFWHRlNzJ4QmVWd2tjMTVGWmxmc1VpOHJkQmVIVU03S0hUOFZWOTduWWdRYWNmX29YZVJXZ2xSdVBtcTN0aENWUldxRzRHYzZ5dzdEUl92aHRIdDhfWmxQTEZmcjVOOElVTnAtdDFQYWdlemk0RkhpZ2FN?oc=5
Android 17 Resmi Meluncur: Cek Daftar HP yang Kebagian Update dan Fitur Barunya!;Android 17 Resmi Meluncur: Cek Daftar HP yang Kebagian Update dan Fitur Barunya! GoodStats;Android 17 Resmi Meluncur: Cek Daftar HP yang Kebagian Update dan Fitur Barunya! GoodStats;GoodStats;-;https://news.google.com/rss/articles/CBMiswFBVV95cUxPbzhyYlJrOGNGUlFBZnlGSkZ5RF9NNGFrVVN0UHZKMS1IeG1TdC1tTVNJTDVjT05IdXJRSHJnUmR5YnQxZEFFRjVtOHFJQkZLU2NBUUtVTXAyTlZvY2ZqbUhEQ09uUkJzRHNmSHFVLWRhSzN2S21JSk8zc0JWWW1KQU1rX0J5S3RHZllJQ3pnNmp5WURvc3RsM0dxSjliaDRSNXpSRmh0YnlVSlZDZFREOFMyUQ?oc=5
Malware Android 'Rekening Auto Ludes' Ancam Kepercayaan Fintech Indonesia — Respons Industri & Mitigasi;Malware Android 'Rekening Auto Ludes' Ancam Kepercayaan Fintech Indonesia — Respons Industri & Mitigasi BERNAS.id;Malware Android 'Rekening Auto Ludes' Ancam Kepercayaan Fintech Indonesia — Respons Industri & Mitigasi BERNAS.id;BERNAS.id;-;https://news.google.com/rss/articles/CBMivwFBVV95cUxPNTY3SmtOQjNtYXREWmMwR1BtMm9ZWHZmalJJdV84ZUd2ZHZOV3BWMFlYZ1VnTkxQZnBGTDh2NHBNeDhhVEdCRGoyUjJfSlhERE1hUmdZWFE1dlpfSjdneXdMMUlKdzVpRGJyVmgwQ3BBNExKejdMWkNSXzZUM2JGbXFXOXpHZnlUbzZsUjVkY2o3dmEwS3d3c1hVS2hwRjZaeFdrRDRKQ2NhVFFpS3hvdlZLNFNhNmpQZXdBNUdBdw?oc=5
Android 17 di Indonesia: Antara Janji AI dan Realita Pasar Entry-Level;Android 17 di Indonesia: Antara Janji AI dan Realita Pasar Entry-Level Telset.id;Android 17 di Indonesia: Antara Janji AI dan Realita Pasar Entry-Level Telset.id;Telset.id;-;https://news.google.com/rss/articles/CBMinAFBVV95cUxPQ0FIZ25qRGNtVTByTG5jRTNQWGVYOVV0VzdrV0ZIX0VsbkZicUtlRkptdUoxSldmRkpabThnQlZSeExHQVYwN0VDZWVrTTJPaF9MRTNnc2g2S3pPX2lpWVd3eXVLel9CRzNxRFFXN0NRN2Z5aE1FNkJaM3ViYTFKaXJvd3k1SFBRTUc2WVl0LUhzTGlieE00Mkt0N0w?oc=5
Daftar HP Samsung Kebagian Android 17, Ada Punya Kamu?;Daftar HP Samsung Kebagian Android 17, Ada Punya Kamu? CNN Indonesia;Daftar HP Samsung Kebagian Android 17, Ada Punya Kamu? CNN Indonesia;CNN Indonesia;-;https://news.google.com/rss/articles/CBMiugFBVV95cUxQa0FqaHJtcXhNM2pLMEgwVFhMc1JMWDdnc00teXVsUWFfOV9RYWFuMmp4Sy1nSTRHQWF3TjJfcktwdnZobXBiQ0RKMjdYS2M3a3lwQnBUdzBVSlFjbGJQdkdwYlZzMTF1U2pmNkVvYXU5NFNPcFd5UVVxM1lxUmZYZTZYcVJiVm5fZ0FFcjZGLVd5c082cGV1WmVXcDZyLTFVRmNQTG1LNGdDWEpjV0JIYU5OWUNYOUloTEHSAb8BQVVfeXFMT0VkNHVzSVYwZnlTQmROM05pLThJMHdsZHJ6QUwzbEtxdmYyTnFqYkRZQlNMTmRHX1p3YjN2MGV5dW5iZFBubC1iakpmTlFSbDBxVGRuUHJMUUFlaU9GVFIyM1pyQWtfZmc3ZHFOQTAtSmNFR3o3VGZhRGsyVU54ZWVDV1N1VWlLMEtBeGdxNlJmOGlzY2tSYW9zeUN6WnpFTC1pbzN2WFJ4Y3FNbmFzczJ6SkZHRmxsd29VVGZFNGc?oc=5
Ingat Pesan Google, Hapus Aplikasi dan File Ini dari HP Android;Ingat Pesan Google, Hapus Aplikasi dan File Ini dari HP Android CNBC Indonesia;Ingat Pesan Google, Hapus Aplikasi dan File Ini dari HP Android CNBC Indonesia;CNBC Indonesia;-;https://news.google.com/rss/articles/CBMivwFBVV95cUxQR0RUS05tUUNKbWhaZVQzT3Izb1h1TEJSNDRGekdjanp6NGJuMENvSTc0QUJuT2JqaTdqOEdVQVVnVUtKeEQzUGwybWRyM3BBZmdtTlNvS1RKcVA4bHRCR3A5V09YOFIzSHBtbVFCaHhkdkZQZnotbTJ2NnRiaWNLaW80VlZWUWVoTERRUmJud0FiVlBHNFdSbXIxcFhZVTZ1dGhzQjR2aWNDY1c0Tzc5MUZKR1Y2dS1aMGdMMWMtSdIBxAFBVV95cUxPSlNzamJnR0NvcHFvdmhFdjBOTF9WNV9hTFcwazc4OV82TDk4M3BNOVhvRDVFc3B4OXYyNVFQSlZ2bDFpWkRab0lqVjlFNG9weElNZ2t3NC1wQXVZZVFCcm01d1Npbl9MV3RHLWVmV1lNVERzLWJ6eWNMYm1Dck15dGZnczF1NENhSTFMRFNQWVh2b25KMGZCdk5kVXMyU0RkM3dPdFRQZ2FoS2RSN3ljclVBU2ZfcWZ3WUFkMGs5MlNKZmtC?oc=5
Gmail Live Mulai Diuji Coba di Android dan iOS, Ini Fungsinya;Gmail Live Mulai Diuji Coba di Android dan iOS, Ini Fungsinya CNN Indonesia;Gmail Live Mulai Diuji Coba di Android dan iOS, Ini Fungsinya CNN Indonesia;CNN Indonesia;-;https://news.google.com/rss/articles/CBMixAFBVV95cUxQWkptXy1CbXlrYm5qN25qQWRkNnRQdjd5MXVYQkFWVWw0M1c4TmtuemVJWVJxallDSHNwOGoxNUJTTFl0R2RMcy1Oa3pwMlJObWFLa0t5c3kyRW13US1oeTcxQ3ozU1VpZ2VHMTMwNGpWWWM3T04tYjFCSDlGbUNveE1FeFR0VkNUWmVLckRCaGhnU2s5bUwwN0dwZXZuM1hOTmo2dUJWV3hiTjN3U0xrbUFNQ0E0S2d2Q2U5SEY1SmZNOUkx0gHKAUFVX3lxTE9mc0NTSDVhWTlEeUdiVXJMZ2NfazhHMlZ4MzVwSDE5VkJxYV9QRllFTXdWNDhXU2lnSG1TZEdNazBySTd0S1pKV3pGRWpjUkhmX3VuQ2RONmM5TVE4QW16YlN5a1RZeFZmNnJkd0FBZFRENWRhaWZvSUhxZ0Z0NGF6TmN2N3d1TXFzOWFjSi02Z2V0aXU1TDZnZ3daRlUzY2ZIeVJ0Qk5wMXdRNUdzN0R0R2pnOEhWZjVHeTNTODJjRTJ2cnZBVU1KZ1E?oc=5
HP Android 14 Hingga 16 Wajib Update Segera, Google Sudah Warning;HP Android 14 Hingga 16 Wajib Update Segera, Google Sudah Warning CNBC Indonesia;HP Android 14 Hingga 16 Wajib Update Segera, Google Sudah Warning CNBC Indonesia;CNBC Indonesia;-;https://news.google.com/rss/articles/CBMiwgFBVV95cUxQcHhGZHBqM3FadndLXzlLVHQzdlptbDU4SGRlbHR0M3dOSlVIdTBXOXJkbExYVll4LTdFc0RvNkxBaFZrRVU0NUpfdUtqaGUzTkViNmwxanNMUFI5bURpaWoyWVVqVGtOTUliWHpCRGdTdDNnYkhLNGVoQXZuTE9WNzYwNkJhcWtLVU5hQ0kxdFFjZmhsRWxpSzVlTldyQTFVVmZ6VGhUcnJta2hMSkNfYTlnTFM4UzdiQ2N5SDhBanJZUdIBxwFBVV95cUxNdm1PS3RmWU81RmZCTVNISUI2Y3NpMGVmcXdTVDZEN0JlbnJJQWlzaVlLMHVfbnZDYXVqUGgtOFVtWkZSYjZFZTN5ZHB1SHk3ZVNXMGRrd3YtRGdWVUhxbUZha1c3WFJWaVZfaHYydUVBWkNuSTVyZllpZUc1YzdUU0p3aDZJcnhyMGlOSFdNSGRjUENYaHdFT25ZWk1oZGVEYjBPUTBRYm1XWXA2dm5VbEs5YXQ0UktWLXJYSFl1aG1GdDlvb1h3?oc=5
Jelang Rilis Android 17, Apa Saja Fitur-fitur Barunya?;Jelang Rilis Android 17, Apa Saja Fitur-fitur Barunya? CNN Indonesia;Jelang Rilis Android 17, Apa Saja Fitur-fitur Barunya? CNN Indonesia;CNN Indonesia;-;https://news.google.com/rss/articles/CBMiugFBVV95cUxNcnBOZ3NzUUxRTmdPRHRDSGFIZzRJNjdXYlR2dFE1blFBX3M3RkZsdXlhdmlSUE10b3NONktIZFU1QmVuaVdJVmFlYXZJTXZHaVQ4MjZGblMxSkZXMFlFUVNadVBzdmtVdlhscGtLQWFHMGhmVHhEbUdrb296YndyTVNvQUtxcXA1ZmM5dTlKVGdGWm1scGtjdU1Hek5vWjZmNFdRaGVlZVpLU2NfZ041cGhQT3dESmJOWnfSAb8BQVVfeXFMTmZDb3hQeTcyNTQzdFBGb0hqRzNiTzB1RVp3Ni1rejhwdEZQNlZHanA5bGEzVmhWOG14SWx0c1lCaVVZakdRUU11ZDl4VFVYZFowQ1N4RHhoVUcxVExhWVdsYXJuSWNYUGNmUzRxNFRWQzEzWllpWGhHVExkLWt6cEU3UWd0UXBPUnFuYjEwTXdMdGotZk1nRjVfcGYxWktTNnk5RkZWLXhuSXljZk44b05CTk9lNWpoM3d6NHdiLWc?oc=5
